DATAFLOW,LAST_UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2016,5.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2017,4.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2018,3.6,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2019,3.3,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2020,4.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2021,4.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2022,3.6,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,HU,2023,4.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2012,15.5,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2013,13.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2014,11.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2015,9.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2016,8.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2017,6.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2018,5.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2019,5.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2020,5.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2021,6.2,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2022,4.5,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IE,2023,4.3,b
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2012,6.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2013,5.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2014,4.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2015,4.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2016,3.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2017,2.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2018,2.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2019,3.5,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2020,5.5,b
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2021,6.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2022,3.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IS,2023,3.5,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2012,10.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2013,12.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2014,12.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2015,12.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2016,11.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2017,11.3,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2018,10.6,b
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2019,9.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,IT,2020,9.3,
